ts_utc,entity,value,unit,source,dataset_id,metric_name,is_derived,derived_from,fingerprint
2026-01-15T07:32:29Z,BTCUSD,96451.3046875,USD,yfinance,crypto_btc_usd_spot_coingecko,spot_price,False,,d855e3c37d10e1b3
2026-01-15T07:40:39Z,BTCUSD,96487.59375,USD,yfinance,crypto_btc_usd_spot_coingecko,spot_price,False,,c0a9d4915bd6c06f
2026-01-15T08:01:02Z,BTCUSD,96516.46875,USD,yfinance,crypto_btc_usd_spot_coingecko,spot_price,False,,581988217b5302d4
2026-01-15T08:12:12Z,BTCUSD,96499.21875,USD,yfinance,crypto_btc_usd_spot_coingecko,spot_price,False,,d6322c96e5b576ee
2026-01-15T08:21:28Z,BTCUSD,96420.7109375,USD,yfinance,crypto_btc_usd_spot_coingecko,spot_price,False,,25dbca3fc789368f
2026-01-15T08:31:41Z,BTCUSD,96393.375,USD,yfinance,crypto_btc_usd_spot_coingecko,spot_price,False,,36411e9840f7beb2
2026-01-15T08:46:18Z,BTCUSD,96362.8046875,USD,yfinance,crypto_btc_usd_spot_coingecko,spot_price,False,,839ea3f0a4c400dd
2026-01-15T11:32:27Z,BTCUSD,96792.4375,USD,yfinance,crypto_btc_usd_spot_coingecko,spot_price,False,,faba65d71f29a268
2026-01-15T11:43:38Z,BTCUSD,96654.640625,USD,yfinance,crypto_btc_usd_spot_coingecko,spot_price,False,,6cfc9d6723fa3ebd
2026-01-15T11:53:48Z,BTCUSD,96582.125,USD,yfinance,crypto_btc_usd_spot_coingecko,spot_price,False,,59dd5a83977ef2fd
2026-01-15T12:07:18Z,BTCUSD,96629.890625,USD,yfinance,crypto_btc_usd_spot_coingecko,spot_price,False,,3f21738b8e45c3f8
2026-01-15T12:57:15Z,BTCUSD,96917.5703125,USD,yfinance,crypto_btc_usd_spot_coingecko,spot_price,False,,89e4701aa7816f0c
2026-01-15T12:59:09Z,BTCUSD,96861.3125,USD,yfinance,crypto_btc_usd_spot_coingecko,spot_price,False,,1baada586c47a6cb
2026-01-15T13:01:10Z,BTCUSD,96940.3046875,USD,yfinance,crypto_btc_usd_spot_coingecko,spot_price,False,,cb9156eddac7b4ac
2026-01-15T13:03:29Z,BTCUSD,96957.265625,USD,yfinance,crypto_btc_usd_spot_coingecko,spot_price,False,,1edcfa241e731cc4
2026-01-15T13:10:09Z,BTCUSD,96867.484375,USD,yfinance,crypto_btc_usd_spot_coingecko,spot_price,False,,402faccc96490014
2026-01-15T13:11:47Z,BTCUSD,96855.7265625,USD,yfinance,crypto_btc_usd_spot_coingecko,spot_price,False,,be8cc9bd5fbb81dd
2026-01-15T13:22:57Z,BTCUSD,96907.734375,USD,yfinance,crypto_btc_usd_spot_coingecko,spot_price,False,,33128654a993efa8
2026-01-15T13:28:48Z,BTCUSD,96876.8359375,USD,yfinance,crypto_btc_usd_spot_coingecko,spot_price,False,,9a5af0f854277518
2026-01-15T13:30:59Z,BTCUSD,96938.0390625,USD,yfinance,crypto_btc_usd_spot_coingecko,spot_price,False,,f45db9a096807b5c
2026-01-15T14:16:32Z,BTCUSD,97092.859375,USD,yfinance,crypto_btc_usd_spot_coingecko,spot_price,False,,b24601f43de094d3
2026-01-15T14:20:45Z,BTCUSD,96990.28125,USD,yfinance,crypto_btc_usd_spot_coingecko,spot_price,False,,48e305947bf95112
2026-01-15T14:47:59Z,BTCUSD,95707.84375,USD,yfinance,crypto_btc_usd_spot_coingecko,spot_price,False,,c91f8161b9f1f009
2026-01-15T14:52:47Z,BTCUSD,95976.796875,USD,yfinance,crypto_btc_usd_spot_coingecko,spot_price,False,,164d784b997bf2c2
2026-01-15T15:00:20Z,BTCUSD,96043.9609375,USD,yfinance,crypto_btc_usd_spot_coingecko,spot_price,False,,386b59873efe0c27
2026-01-15T15:13:41Z,BTCUSD,96211.265625,USD,yfinance,crypto_btc_usd_spot_coingecko,spot_price,False,,44201fb447ef3e06
2026-01-15T15:27:49Z,BTCUSD,95841.8359375,USD,yfinance,crypto_btc_usd_spot_coingecko,spot_price,False,,caa7f83c809169fb
2026-01-15T15:36:23Z,BTCUSD,95935.234375,USD,yfinance,crypto_btc_usd_spot_coingecko,spot_price,False,,1f37a29608e385d2
2026-01-15T15:47:08Z,BTCUSD,95821.1171875,USD,yfinance,crypto_btc_usd_spot_coingecko,spot_price,False,,410a2339d697c2d1
2026-01-15T15:54:13Z,BTCUSD,95559.4453125,USD,yfinance,crypto_btc_usd_spot_coingecko,spot_price,False,,3d70efdeacdc7e85
